Age,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10
,0.0060213,0.0035802,0.021363,0.0024763,-1.38E-05,-0.0054352,0.0062244,0.0082928,-0.021015,-0.024597
,-0.0084101,-0.0055209,0.0041343,0.014731,0.013877,-0.015588,0.013129,0.0095588,-0.025817,0.0084381
,0.021458,-0.0060261,0.0010882,-0.0095859,0.0025979,0.0048976,0.014103,0.01426,0.0059781,-0.017334
,0.015718,0.0072997,0.0018959,-0.021419,-0.022258,-0.013741,-0.0065266,0.011928,-0.014285,-0.013546
,0.010674,0.0031931,0.014202,0.0082177,0.010437,-0.0031591,0.04073,-0.0053868,-0.0059213,0.010651
,0.019159,0.0013566,0.0087122,-0.0029394,-0.0014673,0.0064717,0.00017603,-0.0076003,0.0021722,0.014788
,0.025553,0.0030089,0.018718,-0.0085655,-0.0043364,0.003493,0.022561,0.0043856,-0.0060429,0.022586
,0.013629,0.010931,0.00087578,0.0008757,0.00039187,-0.0015522,0.012283,-0.0043467,0.021837,-0.028159
,0.016168,-0.022959,-0.038425,0.010201,0.026166,-0.0056747,0.015925,-0.0034374,0.00064218,0.022472
,0.011417,-0.008105,-0.018409,-0.0087763,-0.0076596,0.001707,-0.011892,-0.014338,-0.0075454,-0.0069791
,-0.010006,-0.0051164,0.0076316,0.010909,0.017159,0.010963,0.021426,0.024326,-0.0054369,0.0081045
,-0.0080933,-0.0012154,0.011553,-0.0067511,0.0045299,-0.0016834,-0.0076929,0.013677,-0.026991,0.0096399
,0.0051237,-0.00316,0.0060471,-0.012823,0.0029126,0.0078812,-0.012177,-0.0010477,-0.0065743,0.010102
,-0.0013396,-0.0089852,-0.024971,-0.0013496,-0.0016218,0.0099252,-0.014872,-0.0077731,0.00036261,5.13E-05
,-0.010138,-0.024332,-0.011736,0.022514,-0.0095332,0.0047061,0.0047146,-0.031852,-0.016026,0.0071088
,-0.0024357,-0.0011225,-0.0037518,0.0037646,0.0068773,-0.012515,0.0036017,0.0018454,-0.0035367,-0.027465
,-0.027046,0.0046331,0.017861,-0.015501,-0.017629,0.0055334,-0.023676,0.013427,-0.034502,0.017985
,0.027461,0.0011863,0.0099601,0.0010042,-0.0075756,0.016961,0.0052313,-0.0020958,-0.0052946,0.0085362
,-0.0098533,-0.0075607,-0.011626,-0.012213,0.010045,0.012541,-0.015897,-0.0043908,-0.0096933,0.0051289
,-0.010739,-0.0024826,-0.0038561,0.019867,0.023081,0.00083952,0.0016144,0.0022457,-0.0073059,0.023678
,0.0043752,-0.01031,0.0035069,6.29E-05,0.018438,-0.017265,0.0074026,-0.011369,-0.0099211,-0.0091333
,-0.00015011,0.0025573,-0.012585,0.00085436,-0.0056341,-0.0070198,-0.00075651,-0.012452,0.026941,0.0057183
,0.023895,-0.011545,-0.012337,0.0089489,0.0031566,0.0051182,-0.010319,-0.014433,0.003667,-0.020569
,0.0032208,-0.0168,-0.0018082,-0.0006104,0.016552,-0.0012464,-0.0021596,0.0087952,-0.01661,0.017458
,0.023,-0.0062971,-0.024103,0.0079548,-0.013168,0.0019193,-0.009509,-0.0035205,-0.01697,-0.0087176
,-0.0038428,0.009844,-0.0033632,0.0018097,0.0096367,0.001796,0.0048526,-0.0091597,-0.013921,-0.01276
,-0.022732,0.0060251,0.0075437,0.0011535,0.0065429,-0.0040496,0.012908,-0.0031274,0.010504,-0.0074216
,0.0040608,0.00087224,0.011009,0.0096602,-0.028839,-0.013359,0.012481,0.0010056,0.015505,0.017602
,0.028445,0.00012929,-0.018487,0.00090779,-0.014238,0.0064713,0.0097065,-0.0041337,0.0048293,-0.016607
,0.0065162,0.015173,0.020209,0.00099317,-0.0013317,0.011628,-0.0090834,0.024933,0.0029174,-0.0023324
,0.010564,-0.01263,0.0022916,0.0054901,-0.028887,-0.0056908,-0.0075914,-0.012364,-0.0020892,0.0046596
,0.017763,-0.016481,-0.048453,0.0057725,0.013531,0.010107,0.023032,-0.0071629,0.010666,0.0090015
,0.0070003,0.0037314,0.0071618,0.00057791,0.0051286,0.0018061,-0.0060177,-0.0028403,0.0030579,-0.011187
,-0.0049264,0.012303,0.0098047,-0.020861,0.019757,-0.00034255,0.0035182,0.0059354,0.017869,-0.012582
,0.018876,-0.0015382,-0.025522,-0.007263,0.0056447,0.015632,-0.006192,-0.011887,0.0016177,-0.012827
,-0.0022584,-0.0045063,0.0029764,-0.0037633,0.0058391,0.0093344,-0.00069017,-0.0021616,0.0099858,-0.020996
